Aircraft Name,Reg #,Serial Number,Price,TTAF,Landings,Location,Company,URL
2000 Gulfstream G-IVSP,N93QQ,1407,Inquire,"11,157","5,333","UT, US",EMC Trading Inc.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199365&listingType=true
2000 Gulfstream G-IVSP,N1428N,1428,Inquire,"6,186","2,912","FL, US",Mesinger Jet Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=197984&listingType=true
2001 Gulfstream G-IVSP,N415MA,1463,"$ 3,995,000","16,759","8,397","CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=199092&listingType=true
2001 Gulfstream G-IVSP,N394AK,1470,"$ 5,950,000","14,456","7,096","NY, US",QS Partners LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=198987&listingType=true
1995 Gulfstream G-IVSP,N120JJ,IV-1264,Inquire,"13,923","6,664","CA, US",International Aircraft Marketing & Sales,https://www.aso.com/listings/spec/ViewAd.aspx?id=197894&listingType=true
2003 Gulfstream G-IVSP,N/A,IV-1497,Inquire,N/A,N/A,"CA, US",Flight Source International,https://www.aso.com/listings/spec/ViewAd.aspx?id=196805&listingType=true
1990 Gulfstream G-IV,M-TGAU,1130,Inquire,"19,020","10,144",CH,Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=195448&listingType=true
1990 Gulfstream G-IV,N222GY,1142,Inquire,"6,706","3,274","CT, US",Bleeker Holdings Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199318&listingType=true
1990 Gulfstream G-IV,N306TT,1148,"$ 3,950,000","6,604","3,995","MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199359&listingType=true
1990 Gulfstream G-IV,N188SA,1150,"$ 3,200,000","14,366","5,836","CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=194781&listingType=true
