Year,Make,Model,Reg #,Serial Number,Price,TTAF,Landings,Location,Company,URL
2015,Gulfstream,G650 ER,N358V,6161,Inquire,3603,1135,"GA, US","The VanAllen Group, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199344&listingType=true
2015,Gulfstream,G650 ER,,6165,Inquire,1762,618,HK,"Asian Sky Group, Ltd.",https://www.aso.com/listings/spec/ViewAd.aspx?id=199245&listingType=true
2017,Gulfstream,G650 ER,N650EH,6230,42250000,1864,659,"CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=195663&listingType=true
2017,Gulfstream,G650 ER,N103WG,6275,Inquire,2400,910,"NY, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198900&listingType=true
2018,Gulfstream,G650 ER,N344AP,6295,Inquire,3032,999,"PA, US",Jet HQ,https://www.aso.com/listings/spec/ViewAd.aspx?id=199224&listingType=true
2014,Gulfstream,G650,OE-LVJ,6062,Inquire,5340,1980,CH,88K AG,https://www.aso.com/listings/spec/ViewAd.aspx?id=199332&listingType=true
2014,Gulfstream,G650,N380SE,6088,Inquire,3600,730,"FL, US",Southern Cross Aircraft LLC,https://www.aso.com/listings/spec/ViewAd.aspx?id=198898&listingType=true
2016,Gulfstream,G650,N624AJ,6214,Inquire,2664,671,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=199115&listingType=true
2017,Gulfstream,G650,M-AAAL,6279,Inquire,2811,1039,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=198203&listingType=true
2019,Gulfstream,G600,N609JS,73009,45995000,2105,1038,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=197772&listingType=true
2020,Gulfstream,G600,N920BM,73035,47950000,898,295,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=197593&listingType=true
2020,Gulfstream,G600,N1SF,73039,Inquire,429,221,"TX, US",EMC Trading Inc.,https://www.aso.com/listings/spec/ViewAd.aspx?id=198449&listingType=true
2004,Gulfstream,G550,N521GV,5021,Inquire,4865,2478,"NE, US",Duncan Aviation,https://www.aso.com/listings/spec/ViewAd.aspx?id=196627&listingType=true
2004,Gulfstream,G550,N74VW,5040,12995000,10736,3135,"MT, US","Intercontinental Aircraft Group, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198040&listingType=true
2006,Gulfstream,G550,N150TC,5108,Inquire,7792,2354,"CA, US",Donath Aircraft Services,https://www.aso.com/listings/spec/ViewAd.aspx?id=199350&listingType=true
2009,Gulfstream,G550,N830GT,5237,17950000,6913,1912,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=198179&listingType=true
2010,Gulfstream,G550,9H-JSL,5270,19250000,4336,1248,"TN, US",Jet HQ,https://www.aso.com/listings/spec/ViewAd.aspx?id=197480&listingType=true
2012,Gulfstream,G550,,5348,Inquire,4247,1913,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=199148&listingType=true
2012,Gulfstream,G550,N550VE,5365,Inquire,3585,1788,"TX, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198387&listingType=true
2013,Gulfstream,G550,N399FF,5399,Inquire,1969,774,"OH, US",Axiom Aviation Inc.,https://www.aso.com/listings/spec/ViewAd.aspx?id=197025&listingType=true
2016,Gulfstream,G550,A6-YMA,5536,25295000,3121,1373,"CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=197970&listingType=true
2018,Gulfstream,G550,VP-CYC,5564,Inquire,1504,603,"MD, US",Omni Jet Trading,https://www.aso.com/listings/spec/ViewAd.aspx?id=199132&listingType=true
2018,Gulfstream,G550,N551AV,5569,32500000,2739,1022,"GA, US",Gulfstream Aerospace Corp.,https://www.aso.com/listings/spec/ViewAd.aspx?id=199139&listingType=true
2006,Gulfstream,G500,N789LR,5100,12495000,6227,2886,"MD, US","Avpro, Inc.",https://www.aso.com/listings/spec/ViewAd.aspx?id=197704&listingType=true
2018,Gulfstream,G500,N1RF,72009,35995000,960,585,"CT, US","Guardian Jet, LLC",https://www.aso.com/listings/spec/ViewAd.aspx?id=198099&listingType=true
2018,Gulfstream,G500,N5PF,72010,Inquire,1425,880,"TX, US",EMC Trading Inc.,https://www.aso.com/listings/spec/ViewAd.aspx?id=196605&listingType=true
2020,Gulfstream,G500,9H-OST,72044,Inquire,457,164,MC,Boutsen Aviation S.A.M.,https://www.aso.com/listings/spec/ViewAd.aspx?id=197325&listingType=true
2009,Gulfstream,G450,,,Inquire,2800,nan,GB,Aradian Aviation Ltd.,https://www.aso.com/listings/spec/ViewAd.aspx?id=184832&listingType=true
2005,Gulfstream,G450,,4018,Inquire,6325,2252,"NC, US",Jetcraft ,https://www.aso.com/listings/spec/ViewAd.aspx?id=199441&listingType=true
